label,1x1,1x2
9,90,6
1,88,14
1,63,65
6,82,88
0,33,73
7,21,12
5,33,10
7,84,1
3,30,34
4,51,8
9,76,59
1,88,97
8,88,20
8,44,50
7,98,56
3,95,5
8,75,93
4,73,35
3,72,76
0,45,26
1,29,4
7,97,18
1,39,98
6,22,88
0,26,53
6,87,41
8,50,6
1,46,33
9,66,73
1,5,33
4,18,97
2,78,63
1,60,4
1,9,27
6,25,95
5,51,67
7,49,34
0,10,92
0,72,28
1,81,82
0,23,27
0,36,22
6,46,13
9,10,74
4,79,67
4,75,9
8,1,91
4,44,6
1,64,9
2,42,99
7,24,29
7,6,62
9,1,76
2,31,29
4,47,45
9,58,83
0,47,36
5,7,38
6,45,23
2,24,30
6,88,95
4,18,89
1,19,23
3,25,30
6,11,48
4,55,73
3,8,94
7,24,20
5,56,95
1,94,43
9,9,45
6,34,28
6,31,78
4,90,78
0,62,73
7,26,7
6,65,29
9,32,94
