label,1x1,1x2
1,93,19
5,5,78
2,64,26
1,82,61
9,16,35
5,70,56
4,5,5
4,54,98
8,0,36
1,46,45
6,73,50
8,41,16
4,35,33
8,75,31
2,56,3
4,88,24
8,42,27
2,38,69
6,15,20
9,19,30
9,30,69
4,20,80
0,34,38
1,87,70
2,82,4
5,38,28
1,39,16
9,5,25
9,5,6
6,71,94
9,10,39
2,86,35
9,75,82
7,73,5
2,74,9
9,73,52
3,53,60
4,39,59
6,64,73
4,43,26
8,37,22
8,23,51
0,9,9
3,85,13
5,24,90
0,92,55
8,92,19
6,28,93
1,52,2
2,49,32
3,46,97
0,64,39
8,14,11
7,31,85
9,19,20
9,0,42
2,39,22
8,53,16
9,26,20
3,73,87
5,58,19
7,19,88
1,30,64
6,57,18
1,10,16
4,69,99
4,23,64
0,20,97
0,34,44
9,74,43
5,63,81
7,42,34
3,33,59
3,22,71
8,34,46
1,6,89
