label,1x1,1x2
5,13,60
1,55,19
6,76,38
3,46,17
2,82,27
7,78,83
8,80,41
9,55,38
1,19,74
2,27,44
7,2,40
1,46,30
7,84,71
1,6,18
0,49,89
4,54,60
8,0,27
0,54,43
8,36,34
6,77,52
9,20,2
0,60,81
4,42,82
3,55,20
2,13,21
8,96,68
4,91,48
0,44,46
5,2,66
7,49,9
9,53,73
6,78,39
5,78,86
6,2,14
8,13,30
8,86,47
0,91,5
2,41,14
6,50,44
9,96,24
1,44,31
5,36,77
1,32,68
2,68,27
8,53,22
1,72,37
7,34,76
8,60,74
9,63,15
9,16,95
0,70,23
9,47,9
9,72,45
8,12,7
0,21,16
8,71,55
2,76,60
7,93,62
3,85,29
2,7,79
9,25,42
0,62,76
2,76,81
2,42,60
5,57,96
3,15,40
3,81,21
0,10,18
0,68,21
9,59,18
9,19,45
5,64,36
9,36,96
0,56,52
2,11,82
7,45,62
8,62,39
5,45,8
9,30,50
8,58,75
8,56,18
2,57,21
1,94,48
3,89,65
4,82,3
7,63,58
9,87,9
7,44,31
3,6,4
7,0,31
