label,1x1,1x2
6,84,78
8,45,64
6,63,13
8,28,8
1,55,14
5,44,45
4,30,56
2,99,11
0,96,81
4,36,4
6,5,31
8,6,79
3,88,65
6,60,21
7,87,19
8,13,67
6,15,10
1,9,94
2,17,47
1,55,37
5,3,63
8,59,67
3,51,49
6,7,33
2,51,59
3,64,67
1,89,42
7,36,31
8,67,19
3,73,62
3,38,90
4,80,62
7,50,7
6,95,83
8,23,9
6,64,38
3,54,93
3,43,1
7,15,55
2,7,58
2,65,48
7,6,7
4,36,28
1,54,60
3,81,77
5,20,74
6,79,37
3,11,10
6,56,86
0,37,67
5,52,22
0,90,62
3,35,91
1,97,47
7,0,38
5,17,78
8,20,33
9,28,10
8,78,9
9,87,48
7,20,21
3,43,77
4,31,6
1,25,91
1,36,23
7,47,74
6,10,45
8,87,23
6,50,80
0,11,92
3,48,28
4,2,23
7,48,43
7,90,15
9,14,3
9,49,29
6,48,63
9,79,10
0,65,65
8,78,45
4,38,31
3,32,67
3,11,13
5,68,58
1,15,28
