label,1x1,1x2
4,6,22
3,97,59
4,62,33
5,62,20
1,90,11
7,20,88
3,26,28
1,86,88
8,72,21
6,1,96
9,3,84
5,69,62
3,27,9
2,59,14
6,6,51
8,69,4
1,0,32
1,84,96
5,83,30
7,43,86
8,47,93
0,41,23
6,76,0
9,38,12
3,68,83
6,51,30
7,71,16
0,29,72
2,64,62
9,84,54
4,52,85
1,39,8
0,72,91
4,79,5
5,78,55
9,73,83
3,12,47
7,56,30
3,93,59
2,90,18
6,68,47
6,30,49
0,4,60
7,6,86
2,77,68
8,17,45
7,61,23
7,25,84
9,29,77
5,39,82
6,9,82
6,4,47
0,38,57
2,61,62
1,67,34
3,20,60
8,57,28
5,64,65
8,99,31
7,39,16
4,16,66
2,56,12
9,91,26
5,58,6
7,93,5
0,25,67
9,46,88
6,83,80
0,82,60
3,77,57
6,65,67
6,36,26
9,29,19
7,65,60
4,78,20
6,15,22
7,24,39
3,50,96
2,69,14
0,79,67
2,19,10
1,90,71
8,63,24
2,75,92
7,65,63
2,78,99
2,88,28
4,54,19
8,21,28
6,94,85
7,4,61
4,28,94
