label,1x1,1x2
2,93,6
4,96,66
6,96,2
7,85,9
9,5,83
0,14,95
9,73,62
7,66,39
6,23,40
0,20,8
3,12,86
1,62,77
4,47,77
8,9,32
9,68,54
2,30,97
6,10,13
7,17,80
5,30,72
3,53,70
1,9,72
8,50,4
0,53,70
3,76,43
4,43,43
8,35,95
2,9,66
1,87,18
8,44,45
7,80,0
6,20,35
8,49,57
3,74,73
7,37,7
5,27,84
5,83,56
8,32,48
1,85,26
6,20,25
9,12,77
9,14,33
9,41,65
9,52,78
5,83,75
7,26,18
7,27,2
0,42,14
0,43,27
2,24,13
5,94,99
2,57,41
7,80,43
9,32,52
1,85,1
3,2,97
8,72,34
1,68,96
3,46,15
5,7,73
8,31,20
0,37,73
1,45,64
6,89,18
7,35,32
4,53,60
4,78,37
2,69,91
4,76,75
3,46,89
1,78,7
3,5,84
1,98,53
2,30,49
2,1,30
6,76,81
1,39,66
3,0,59
5,72,82
6,90,29
1,93,44
2,69,35
8,92,50
1,11,40
