label,1x1,1x2
2,54,3
8,94,65
4,83,76
7,28,21
6,61,34
8,84,82
8,17,6
2,62,30
6,10,12
3,90,80
0,84,78
0,12,16
5,16,49
0,84,33
9,70,91
4,32,12
8,97,80
9,51,78
9,25,3
9,57,22
1,54,13
7,80,77
5,75,77
8,13,22
0,97,31
7,75,69
6,97,23
3,5,36
1,73,18
5,44,29
7,26,4
2,59,60
6,94,76
8,59,25
9,74,68
5,39,54
6,14,93
5,18,18
9,98,97
5,62,49
3,31,42
9,60,2
1,28,64
2,69,1
4,8,11
4,51,78
9,58,69
3,36,9
6,31,49
1,66,76
1,46,45
8,10,80
1,96,63
9,26,12
2,87,11
3,44,66
6,66,3
7,61,13
5,99,10
8,52,87
8,66,99
1,4,43
6,73,76
6,95,41
1,49,41
1,22,14
6,17,27
8,63,34
5,88,37
