label,1x1,1x2
8,18,27
3,21,55
1,98,2
2,74,22
3,96,70
6,27,92
6,30,77
3,4,85
4,48,52
6,97,55
1,80,77
3,76,23
1,17,74
4,1,72
1,15,82
7,88,85
2,46,16
9,54,78
0,20,74
1,86,18
0,82,41
7,32,62
9,94,60
4,48,96
1,16,27
6,28,29
4,53,4
8,33,77
1,41,41
9,21,43
9,63,23
6,98,41
0,2,58
2,24,50
9,53,13
2,49,71
5,47,86
5,50,73
0,11,39
7,17,92
7,51,77
2,18,4
6,46,48
0,61,39
6,71,56
8,38,61
4,62,80
7,26,9
6,40,21
5,3,6
7,78,17
7,39,26
2,24,70
6,7,84
9,0,44
5,9,13
3,34,37
6,78,80
6,35,27
3,69,74
4,80,99
1,34,86
6,7,73
0,67,45
1,85,15
6,84,15
0,31,8
7,7,67
5,19,69
9,86,66
8,1,85
3,89,35
3,21,48
9,8,4
5,67,6
2,69,78
5,5,21
2,14,39
5,47,7
6,57,83
1,26,59
2,40,6
1,32,52
6,69,26
0,56,25
3,92,91
3,93,71
1,81,99
1,28,63
