label,1x1,1x2
3,60,70
4,41,1
8,15,91
6,43,49
0,65,3
0,71,55
1,66,32
9,36,39
3,40,11
1,12,52
6,7,48
2,5,85
3,49,66
9,62,18
3,47,74
2,66,26
7,80,61
0,34,65
5,90,22
7,69,34
0,69,8
5,36,70
0,58,64
0,50,83
7,31,42
5,82,38
5,41,16
6,74,9
1,51,71
3,99,16
6,40,42
2,17,81
3,56,89
6,49,16
7,78,29
0,7,43
5,11,11
4,65,33
0,87,14
5,34,8
9,36,29
8,13,74
0,11,88
5,3,20
3,80,2
6,10,86
3,6,88
5,8,64
9,85,7
7,54,2
0,61,83
4,26,32
1,79,81
5,95,4
2,13,44
1,14,88
7,82,0
0,55,55
8,66,82
9,27,59
9,48,13
0,96,60
5,82,92
0,82,73
5,45,99
5,77,11
