label,1x1,1x2
2,20,55
1,60,7
5,21,10
1,83,29
1,89,98
9,90,0
8,96,58
9,8,57
1,14,19
4,57,11
6,17,89
8,31,88
7,95,25
6,85,87
0,60,72
8,37,19
2,23,41
0,18,75
0,67,29
7,63,53
6,85,84
7,28,36
3,61,13
6,61,28
2,98,36
5,85,24
0,79,90
2,59,38
9,54,66
2,41,66
6,92,40
8,58,18
5,87,30
8,36,99
2,12,67
4,87,51
4,62,20
4,26,27
0,21,87
6,28,55
4,85,13
9,74,40
6,13,59
8,93,62
5,8,91
6,52,21
1,48,32
5,33,34
8,73,78
8,83,14
9,52,91
5,6,17
0,37,17
6,64,49
4,62,1
4,10,53
8,26,96
2,53,2
6,98,11
0,55,63
1,99,65
7,68,33
7,85,36
0,99,93
2,86,74
3,48,33
4,49,24
9,36,15
7,37,15
6,34,54
4,58,42
3,7,48
2,85,94
9,9,97
3,22,50
9,74,92
0,63,80
8,33,5
3,81,34
3,22,1
8,49,20
1,28,74
6,59,65
1,90,29
8,61,17
5,54,68
7,19,56
3,51,68
9,77,59
6,15,55
4,68,74
2,40,32
7,71,9
3,63,97
