label,1x1,1x2
8,38,90
6,34,6
2,49,67
9,8,90
6,44,67
8,4,46
3,24,46
4,45,64
2,65,52
8,77,24
9,89,51
9,24,91
7,74,9
1,10,5
6,99,1
7,66,89
8,39,8
6,30,57
4,36,7
5,5,40
7,16,7
9,15,51
8,95,42
6,83,38
0,54,31
0,8,69
9,44,78
8,35,58
0,40,24
4,1,43
4,58,86
8,74,94
5,24,71
7,88,27
9,38,81
2,62,95
5,1,6
9,28,32
8,51,98
1,1,84
3,31,59
9,29,83
3,68,20
2,57,71
4,41,57
4,39,78
5,0,43
9,14,22
1,67,31
0,28,3
8,67,61
2,1,8
3,95,83
0,75,8
8,67,82
3,16,39
8,50,85
4,91,8
0,12,18
6,11,74
9,85,10
1,35,11
2,80,9
7,53,19
