label,1x1,1x2
5,10,11
0,61,21
6,40,72
4,1,98
4,85,24
8,30,80
8,20,29
5,61,8
9,54,51
6,48,87
4,25,3
9,73,31
9,74,61
4,64,73
9,73,30
6,85,66
8,63,68
5,32,80
3,87,51
8,73,78
7,28,89
3,63,50
1,10,53
9,99,7
3,40,80
3,34,46
1,48,46
2,3,75
0,85,70
1,56,96
3,5,32
6,62,69
9,92,85
3,25,29
3,17,21
6,58,55
0,91,57
4,5,67
3,78,45
7,71,83
0,35,26
0,25,31
4,23,69
8,97,48
7,56,28
9,48,90
7,95,1
2,98,2
3,3,97
7,4,46
8,32,86
9,62,17
9,16,49
4,25,50
0,2,74
7,9,82
1,60,0
3,4,42
7,36,21
1,17,68
6,11,4
3,6,10
5,54,12
8,44,53
8,72,82
7,83,50
6,98,0
8,96,60
7,18,90
9,96,32
6,60,93
8,84,42
1,55,57
9,17,69
4,2,87
4,22,18
0,75,97
8,34,61
4,10,96
1,60,70
6,39,67
0,52,84
8,18,88
2,99,77
8,5,13
0,22,99
2,45,23
