label,1x1,1x2
1,54,61
0,68,98
5,57,94
9,17,27
8,52,58
0,62,18
3,12,79
5,9,52
1,13,69
6,93,70
7,24,41
0,31,98
9,36,53
0,93,21
3,5,27
2,88,48
8,85,88
9,25,81
5,21,10
7,61,3
8,79,86
9,74,57
4,16,8
5,77,97
3,35,92
4,96,37
6,4,58
2,55,61
8,64,11
5,85,20
8,99,46
0,68,41
3,34,7
2,56,31
2,43,36
6,79,7
8,54,38
9,7,39
7,38,45
4,72,34
9,68,11
4,26,95
2,92,94
3,16,93
1,88,66
1,45,83
0,96,17
1,70,94
4,15,21
0,10,47
7,47,21
8,83,2
0,38,8
5,86,69
4,35,40
3,29,6
6,1,10
8,7,53
0,44,49
9,24,76
7,57,49
9,46,83
5,51,42
9,90,75
7,31,57
0,0,93
3,18,76
5,10,69
0,90,38
1,42,73
9,60,29
0,84,59
7,42,90
7,86,72
6,90,93
0,87,59
4,21,48
0,99,79
