label,1x1,1x2
0,22,99
5,79,5
7,6,46
3,28,34
8,31,31
2,62,30
4,57,97
2,37,68
0,90,78
7,24,70
0,45,95
6,37,81
0,79,41
0,20,2
8,75,55
9,15,87
3,84,21
3,20,26
3,41,14
9,6,37
9,56,38
8,12,91
5,24,62
1,86,5
0,13,13
9,48,74
6,13,77
3,62,73
5,56,49
2,80,23
4,26,31
5,69,59
4,12,14
2,10,3
0,33,95
3,36,54
9,54,94
7,90,26
1,26,2
2,47,11
7,34,0
8,63,96
6,19,9
4,45,38
1,67,54
7,10,95
9,92,71
7,92,93
1,87,79
3,70,9
9,1,0
6,22,38
0,84,43
2,36,98
8,92,25
3,29,23
0,43,29
2,62,81
8,43,61
9,68,16
4,86,5
4,20,20
0,67,63
4,10,29
8,14,94
1,1,41
9,64,27
6,36,16
1,75,6
7,90,56
4,33,52
3,86,44
3,86,9
7,91,11
7,66,23
9,87,56
9,62,6
4,73,82
8,72,15
2,67,54
6,82,78
8,22,10
8,84,63
6,54,20
5,42,54
0,18,39
5,38,12
1,64,33
3,71,85
1,2,69
0,32,30
2,44,23
3,93,60
0,21,37
2,46,27
0,32,42
2,3,86
0,45,98
