label,1x1,1x2
7,87,48
5,59,62
8,76,8
2,57,83
3,74,72
0,84,63
2,55,21
9,99,24
5,11,24
1,68,2
4,83,0
1,4,25
7,28,44
2,57,9
4,93,73
7,14,55
9,98,88
5,17,13
2,88,6
9,81,51
8,62,9
9,47,43
6,41,71
5,26,13
3,52,96
2,45,34
4,40,50
0,62,86
5,6,26
7,78,17
0,61,50
4,91,14
6,28,42
8,3,7
8,15,10
9,64,88
1,53,30
9,34,35
0,3,79
3,41,93
6,21,61
4,83,23
2,16,8
3,55,0
9,74,11
4,12,37
2,55,70
9,50,6
6,25,76
9,20,81
7,10,90
8,29,57
6,28,75
9,81,35
3,89,73
6,96,64
6,63,30
7,26,15
0,67,65
0,57,86
8,40,5
0,39,11
1,12,59
7,11,8
1,33,94
0,79,20
1,21,23
1,32,55
1,47,31
2,92,21
8,94,68
0,24,57
5,47,55
7,58,41
2,77,82
0,40,66
0,78,22
8,60,88
4,54,42
