label,1x1,1x2
7,57,4
8,5,12
8,65,30
7,26,99
6,4,30
4,81,18
1,70,14
1,59,46
5,63,64
8,26,54
9,38,71
2,75,88
9,93,57
6,12,26
2,23,59
3,48,52
4,30,71
2,55,30
7,3,87
9,27,17
3,69,41
9,32,55
7,13,8
7,96,23
9,66,88
7,72,79
7,68,36
3,13,92
8,93,15
4,43,41
6,14,27
0,16,99
0,66,95
3,45,8
4,21,40
0,27,56
2,16,78
5,38,71
5,34,4
6,17,1
1,47,33
7,85,46
3,37,44
9,79,33
9,55,86
3,91,1
0,70,20
3,7,36
9,66,56
1,13,58
3,5,41
9,20,35
5,37,79
4,21,24
8,70,8
7,73,50
4,91,97
9,84,92
1,28,69
0,36,40
3,65,70
6,77,13
7,65,36
2,95,65
5,73,36
9,39,77
7,52,44
1,52,42
3,79,9
5,9,2
0,12,30
4,39,32
3,56,54
2,24,52
7,56,75
9,63,54
0,57,62
4,61,99
6,7,24
4,22,31
4,60,20
9,72,24
3,79,49
3,23,40
5,18,33
