label,1x1,1x2
2,73,84
4,47,88
1,64,86
4,49,21
4,79,73
6,9,91
2,63,71
6,57,17
6,51,72
3,92,33
9,66,5
8,5,55
9,39,36
0,6,0
4,76,12
3,5,11
9,90,13
4,0,76
7,18,51
2,94,77
5,99,20
0,38,78
7,64,66
1,58,78
2,93,29
2,34,82
2,66,42
0,0,25
0,78,72
1,42,1
1,82,75
6,10,29
7,4,4
3,73,70
2,33,89
8,30,44
8,25,96
6,55,13
4,10,78
9,22,60
8,86,55
9,62,33
4,36,57
4,77,56
8,87,61
8,93,73
3,43,79
4,94,84
0,94,75
2,32,8
6,29,61
4,30,27
1,33,91
3,94,67
2,4,99
5,83,45
5,47,96
5,49,30
6,52,7
7,73,62
6,82,83
4,86,66
8,98,57
4,65,19
4,25,16
5,76,99
5,7,16
