label,1x1,1x2
9,89,99
3,36,12
3,67,89
0,25,86
7,85,62
6,32,65
2,64,3
2,37,44
8,34,63
3,30,79
4,52,37
6,57,65
6,6,42
0,37,42
8,14,91
0,58,88
7,59,75
8,83,20
5,93,6
9,21,98
3,84,52
2,62,5
1,52,11
3,47,28
2,64,82
5,55,79
7,25,16
6,98,75
7,26,35
3,71,50
1,34,41
7,19,43
7,31,21
3,27,49
9,36,12
6,89,86
5,60,67
6,8,73
7,33,25
0,69,80
3,37,40
5,36,33
6,73,93
8,90,10
5,0,13
4,62,52
9,69,5
6,36,75
0,17,20
0,82,23
0,88,80
7,7,92
5,61,0
4,70,42
3,33,2
5,43,80
4,79,11
6,31,69
3,58,10
1,55,88
2,51,67
0,82,82
1,61,32
2,18,78
7,92,90
3,24,58
8,89,18
1,71,78
7,99,15
9,59,5
0,37,64
3,39,86
9,0,92
0,3,78
8,30,69
7,40,37
6,70,82
3,24,31
9,27,22
4,60,77
6,45,23
