label,1x1,1x2
4,44,84
2,44,75
9,10,42
6,46,70
1,31,43
2,7,49
0,51,92
8,85,82
3,9,94
5,91,84
0,14,17
7,41,67
7,59,92
9,13,76
5,48,77
7,50,46
3,91,1
0,62,71
0,57,5
0,46,87
6,22,24
2,1,49
1,6,54
5,77,88
9,68,25
6,29,38
2,64,24
2,17,33
3,46,59
7,33,49
4,43,69
2,94,86
0,53,31
9,23,42
9,81,95
4,55,53
6,61,14
6,94,47
7,41,11
1,9,73
1,53,57
9,17,27
1,11,85
7,52,43
0,23,44
6,36,9
2,80,7
8,31,41
4,94,5
8,40,42
7,35,67
0,93,33
6,74,31
9,77,74
6,48,6
8,16,5
2,40,58
8,20,62
3,51,72
8,86,88
3,40,86
3,18,18
9,14,5
8,23,54
6,21,27
5,73,22
1,50,96
5,96,10
6,25,36
7,17,99
2,84,17
1,10,28
