label,1x1,1x2
8,55,9
7,56,52
5,25,68
9,62,24
0,1,39
9,74,51
8,64,61
5,19,36
2,21,3
6,19,93
5,77,57
9,57,69
6,18,84
9,56,49
6,23,96
0,13,55
4,30,63
9,35,54
0,66,5
3,58,15
8,85,27
1,53,32
5,97,54
6,58,58
5,19,3
6,70,83
3,73,63
5,21,7
1,48,50
6,64,43
2,45,6
8,11,35
3,32,24
2,81,3
3,98,76
5,75,48
0,94,99
2,50,67
0,87,40
9,41,71
2,81,25
5,52,19
1,80,80
9,47,84
7,94,64
8,56,13
0,47,22
7,54,26
9,58,14
2,98,62
0,59,21
0,83,74
9,90,63
1,90,78
2,8,55
5,64,74
9,32,69
6,55,83
2,42,15
7,1,85
9,84,39
7,49,33
9,17,40
4,59,21
2,73,75
8,45,4
3,94,21
8,41,51
6,4,55
6,81,22
3,7,32
6,70,58
1,49,55
9,97,74
2,52,5
8,26,75
4,39,98
0,76,48
3,22,11
5,31,20
2,70,16
0,54,25
0,41,95
3,50,20
6,98,54
4,45,68
9,97,85
9,46,47
7,55,91
6,54,54
2,58,96
8,99,63
8,65,32
3,5,67
0,74,90
1,38,69
8,59,53
7,73,10
5,62,79
