label,1x1,1x2
8,72,16
9,23,73
4,56,77
9,26,86
7,75,31
6,28,37
3,47,85
7,4,40
5,68,98
5,98,33
9,61,6
9,81,12
8,36,58
9,66,38
1,86,19
8,7,62
2,47,6
5,9,10
3,99,36
4,30,85
6,20,81
0,16,52
8,59,10
6,79,65
7,67,95
4,92,43
0,78,29
8,49,9
2,75,17
5,29,83
8,51,52
1,86,95
7,32,71
1,55,96
1,82,98
2,24,79
4,86,29
6,5,37
4,5,93
7,31,67
6,69,87
4,27,61
8,97,18
3,61,16
0,36,13
1,50,1
8,81,64
3,55,7
5,49,26
4,22,62
8,20,58
6,34,11
5,55,35
0,57,79
1,85,14
8,95,97
5,81,80
3,39,52
7,76,83
9,95,84
8,74,32
7,67,7
3,32,17
8,95,31
8,39,80
9,65,24
0,30,13
8,99,66
3,44,1
6,20,29
5,22,49
9,42,72
2,65,92
3,53,70
3,8,71
7,49,6
9,45,50
7,66,96
9,90,60
9,46,90
5,6,55
8,51,86
9,82,46
4,10,9
2,74,7
2,97,54
5,57,2
6,87,50
8,36,94
9,87,3
9,17,88
2,25,79
6,66,53
0,95,56
6,85,11
4,68,9
