label,1x1,1x2
3,85,34
0,55,74
3,10,74
9,35,52
2,67,62
4,85,66
8,2,64
8,85,63
0,80,92
4,11,44
0,36,92
6,39,94
0,5,64
3,67,94
5,55,92
6,51,56
8,84,61
7,74,5
8,57,99
7,34,51
9,68,14
0,65,67
3,2,15
2,25,61
1,92,95
4,25,40
1,72,94
9,55,28
1,56,4
6,60,66
5,4,57
5,66,83
9,54,14
9,76,13
4,53,61
1,71,17
6,48,64
4,88,9
1,81,64
1,1,94
8,10,59
2,18,93
3,61,97
9,42,0
3,73,82
5,66,19
4,65,69
9,87,78
5,21,61
1,94,78
3,60,28
2,74,35
9,50,7
6,26,79
8,23,86
0,47,78
7,58,43
8,74,44
9,23,0
8,1,58
1,93,52
3,37,93
3,63,45
6,93,60
5,45,52
2,12,95
3,41,43
3,65,24
0,97,37
6,26,96
4,72,43
8,67,5
0,64,27
6,23,81
3,70,32
6,84,25
