label,1x1,1x2
6,57,89
3,65,63
3,68,4
7,89,2
6,16,6
1,82,6
2,2,25
5,96,67
7,37,45
9,54,51
1,39,90
6,18,46
5,60,31
6,86,54
9,21,76
0,81,8
1,81,2
3,68,62
5,61,30
3,36,74
5,61,17
9,88,7
5,16,9
6,59,66
3,72,59
4,48,12
2,64,96
8,22,7
2,67,46
9,72,30
2,46,1
4,56,6
2,94,47
9,41,60
8,42,6
5,53,30
4,88,96
0,58,74
6,21,85
4,26,28
0,30,49
2,81,80
5,18,67
0,25,28
2,51,92
5,47,8
1,55,47
1,75,93
5,4,75
9,24,45
8,70,75
8,36,73
4,32,46
1,11,17
1,31,80
5,95,67
5,62,51
3,97,82
6,61,20
5,39,78
1,10,50
2,75,91
8,23,63
5,43,57
9,44,64
7,95,36
5,80,38
5,95,4
4,45,30
8,67,2
9,76,18
4,25,31
