label,1x1,1x2
4,32,59
5,6,52
6,57,80
1,54,88
4,15,16
2,46,84
8,55,33
9,87,12
6,71,86
3,45,58
8,12,4
6,69,74
6,25,8
2,79,76
2,13,6
9,73,44
7,64,11
2,42,23
5,67,31
5,64,46
2,8,58
3,1,25
1,73,0
6,52,17
8,69,50
4,93,25
6,35,45
3,42,37
0,24,7
4,26,38
0,5,18
6,29,41
1,16,15
7,68,74
6,89,70
2,88,10
7,11,39
6,35,50
7,91,18
4,11,15
3,88,40
8,77,47
0,52,97
9,22,68
0,17,28
3,60,75
2,26,34
5,45,8
6,60,68
1,89,58
2,12,70
7,52,57
2,84,53
4,73,72
6,26,37
3,26,36
3,77,99
2,16,41
9,45,89
0,54,61
5,35,64
2,88,58
0,14,46
0,71,1
1,19,77
2,95,36
0,52,45
1,71,79
8,45,7
3,53,71
3,91,91
8,81,57
6,67,36
1,74,19
0,89,30
7,89,40
2,34,29
3,50,65
5,74,14
1,68,8
8,93,73
8,9,33
0,37,52
5,42,4
3,38,66
4,16,39
7,1,24
6,96,82
0,42,91
8,57,76
2,87,33
1,2,96
0,58,71
3,85,23
9,36,72
3,92,4
4,38,38
0,96,9
8,81,0
4,47,79
