label,1x1,1x2
6,62,22
7,43,36
0,10,60
4,32,6
4,19,26
8,5,76
9,17,14
8,79,19
3,95,38
4,78,7
7,17,40
2,62,13
9,78,48
3,9,27
2,39,68
1,70,52
7,62,74
4,93,76
3,33,17
4,92,50
4,18,31
2,85,8
7,11,78
4,26,93
5,46,72
6,80,3
1,71,41
7,60,2
2,33,94
2,3,89
0,41,71
6,3,91
0,64,20
1,64,59
6,64,27
6,93,69
8,2,58
3,39,59
8,48,51
2,83,4
6,74,56
3,88,73
3,6,93
9,43,39
5,10,59
0,69,55
8,66,59
2,74,96
9,83,36
9,64,21
9,4,31
9,8,71
1,29,74
2,90,51
8,83,22
4,59,65
3,26,59
8,39,54
6,4,86
2,3,54
1,52,88
7,50,28
5,22,89
1,55,72
7,57,57
8,54,10
1,48,42
7,43,76
6,66,68
4,61,70
9,41,54
1,61,50
1,70,84
1,29,14
7,8,26
8,63,27
8,65,21
3,18,82
2,5,26
2,54,61
5,84,83
9,55,86
2,80,18
9,43,51
1,75,79
5,81,4
7,61,88
8,4,99
1,18,5
0,43,29
7,46,25
