label,1x1,1x2
0,14,29
7,95,84
2,94,82
9,59,54
8,70,38
7,38,90
1,13,46
1,15,65
2,16,36
3,11,73
5,63,77
0,82,31
7,17,93
9,92,46
3,90,81
8,51,23
9,8,60
4,34,18
3,8,84
8,40,72
6,54,71
2,96,0
0,56,94
3,69,97
4,36,94
7,55,68
7,89,48
8,15,97
5,52,51
2,8,29
1,79,62
9,69,9
5,91,60
0,3,87
9,87,81
1,24,4
0,74,78
6,19,10
6,29,25
3,11,74
2,19,91
4,70,51
2,95,16
7,12,55
1,28,13
6,63,85
1,14,4
3,61,36
2,42,77
8,59,1
7,67,2
6,59,50
5,69,71
8,31,63
6,45,36
5,77,27
2,25,30
1,88,95
0,49,46
3,88,68
3,29,84
5,96,81
5,99,79
0,19,78
0,54,23
9,76,76
3,88,4
7,13,64
7,48,25
9,56,9
8,81,92
7,89,37
8,35,68
9,85,33
3,37,44
7,0,85
1,88,47
6,55,59
1,50,66
7,87,2
6,98,91
8,91,36
3,5,49
9,37,1
8,10,86
7,3,89
0,85,88
6,27,16
2,65,42
7,21,49
1,69,49
4,77,86
2,69,35
3,37,47
