label,1x1,1x2
7,67,98
9,71,20
8,82,28
0,40,84
4,80,41
7,63,62
7,20,91
8,75,36
9,31,48
8,5,97
4,95,59
5,75,29
5,93,71
0,20,63
6,77,26
6,92,91
1,54,84
6,92,40
8,7,69
0,61,44
4,7,63
4,8,55
0,51,54
9,88,3
1,60,38
7,81,18
9,6,18
7,48,12
4,52,82
1,60,73
8,16,42
0,89,58
3,82,31
7,7,8
9,45,28
9,33,44
0,76,77
5,86,27
2,71,57
2,5,1
4,55,63
3,12,38
1,30,0
5,47,5
7,38,31
2,8,34
3,57,15
6,18,32
7,4,79
9,49,13
0,71,40
7,3,81
6,42,33
7,37,5
6,36,93
5,71,76
7,52,91
0,5,91
4,3,85
7,50,4
2,19,63
3,59,38
8,72,52
6,23,95
0,77,67
6,53,3
1,0,86
9,33,2
9,66,67
6,39,49
6,34,31
7,33,28
4,0,31
4,38,50
4,27,19
2,29,58
7,21,49
6,27,65
1,45,61
7,47,89
8,13,26
3,46,58
6,54,79
4,20,41
9,81,91
0,70,54
3,59,92
5,14,50
0,75,28
3,86,45
8,99,19
6,32,26
6,0,90
