label,1x1,1x2
3,5,19
9,63,68
1,88,40
9,50,92
0,42,61
7,13,84
7,99,94
5,48,25
8,32,70
2,52,48
5,76,83
3,41,35
6,49,24
2,20,26
6,43,45
2,36,17
3,98,25
4,45,14
2,14,51
3,30,92
6,18,89
4,9,23
9,81,76
0,28,67
9,49,51
2,67,41
4,22,49
0,45,81
6,7,9
1,5,89
3,19,38
6,83,5
0,55,80
8,74,5
8,58,9
8,24,86
1,26,62
2,83,30
9,40,61
8,24,21
5,58,87
2,0,71
1,53,4
8,78,8
5,67,9
8,93,8
8,82,88
7,4,89
7,91,27
4,12,44
5,12,7
9,11,90
0,26,44
4,71,49
8,18,71
5,47,74
5,76,10
5,79,56
1,81,60
4,39,55
6,59,80
6,52,12
6,78,68
7,79,46
2,30,37
7,87,44
6,5,88
9,13,88
5,55,12
5,88,2
0,60,74
8,37,82
1,65,17
5,80,65
2,3,21
5,27,68
5,66,87
3,16,10
9,66,86
8,26,9
0,60,29
2,17,20
8,87,5
9,97,65
2,84,49
0,73,5
2,62,50
2,15,53
8,8,21
