label,1x1,1x2
1,82,39
9,3,44
6,45,71
0,0,96
8,74,36
1,3,12
4,86,3
8,35,53
3,15,77
9,0,5
9,33,5
3,52,58
5,91,49
8,69,21
1,91,34
2,19,47
9,82,28
5,64,72
8,80,58
6,12,75
8,8,28
7,84,43
4,30,59
3,15,19
8,85,46
6,94,8
5,40,34
0,65,54
4,99,66
6,70,90
7,43,57
3,56,0
5,20,51
6,89,54
2,29,21
4,79,8
8,66,55
3,40,54
1,21,75
0,2,15
2,6,85
0,48,63
3,85,76
6,96,68
0,59,77
0,56,2
4,35,24
8,74,16
7,34,70
3,89,18
8,31,70
1,72,28
5,84,71
8,10,80
6,59,35
6,20,81
5,38,99
0,76,68
9,87,9
1,81,22
4,40,94
3,21,0
9,33,82
1,98,0
6,13,0
8,21,67
5,58,19
8,62,75
0,90,71
4,57,41
7,14,49
6,66,16
2,85,94
8,38,48
7,19,29
3,89,37
3,80,99
4,8,40
8,94,1
1,4,49
5,85,66
3,99,0
8,69,41
9,41,69
0,83,22
7,50,5
8,64,21
1,33,27
1,91,52
9,16,39
6,23,12
1,72,15
9,63,38
3,98,53
3,91,68
8,78,48
2,83,28
1,44,71
6,9,81
