label,1x1,1x2
3,15,57
2,47,86
3,32,25
6,9,83
5,2,68
1,66,15
2,11,30
6,67,42
0,23,89
2,5,1
9,32,87
5,64,90
2,5,15
1,76,35
6,77,75
0,44,27
9,70,27
3,19,42
8,52,15
6,30,53
0,70,50
2,38,70
9,76,73
2,61,31
4,8,95
7,69,24
7,33,0
4,11,88
2,26,53
2,87,13
6,36,36
2,32,37
9,0,65
3,76,70
7,44,61
2,11,54
6,43,79
4,77,45
6,75,97
2,47,47
2,92,51
3,74,78
7,28,1
2,23,97
7,91,23
5,53,4
6,4,74
1,7,49
5,98,90
6,8,53
4,35,52
6,8,54
8,26,75
7,74,82
3,66,71
8,58,82
6,88,46
3,66,65
9,94,21
8,39,59
7,43,3
7,22,47
2,90,25
0,68,75
3,49,16
6,29,86
7,54,4
3,98,64
8,99,30
9,15,44
1,33,99
1,87,56
3,77,14
8,12,98
7,84,23
9,36,38
8,5,68
4,82,20
8,24,40
1,77,60
9,61,28
0,47,26
1,34,5
4,46,31
9,88,1
1,86,63
6,84,75
2,89,93
0,41,78
6,82,45
1,88,92
9,2,35
7,87,16
4,17,34
2,0,76
8,73,0
4,72,30
