label,1x1,1x2
4,20,55
8,2,73
6,45,70
8,51,14
5,46,58
2,63,27
1,80,3
5,72,97
3,7,40
3,59,58
1,97,56
1,52,38
3,87,60
8,48,54
2,87,65
6,95,1
8,31,71
6,74,43
9,64,75
1,89,59
2,44,46
0,88,1
0,2,92
8,97,2
4,6,74
7,20,47
9,57,10
9,67,97
4,37,32
8,60,44
5,66,91
4,85,97
0,8,22
0,26,96
2,39,17
6,39,7
6,24,10
7,77,12
4,56,46
2,33,58
2,20,65
0,3,32
9,96,47
7,47,67
2,4,75
7,73,36
3,71,58
7,86,46
7,56,57
1,36,38
7,66,99
8,16,11
3,7,83
9,68,56
8,36,6
4,79,22
1,64,85
3,62,90
8,94,39
1,5,53
6,58,52
7,77,46
8,14,48
3,4,80
9,87,41
4,89,61
5,90,52
8,45,76
6,66,69
3,97,52
4,65,79
6,5,6
3,32,73
1,65,28
5,70,39
6,41,34
