label,1x1,1x2
7,0,60
4,32,14
9,79,43
6,15,16
8,32,76
9,67,73
3,72,0
2,13,99
6,69,8
4,93,53
6,42,31
2,62,15
5,33,66
7,62,12
6,65,23
2,94,75
4,87,85
3,13,96
1,83,55
2,68,19
9,41,13
1,70,50
1,55,16
2,16,72
1,33,9
7,13,69
5,86,51
9,68,62
7,63,4
8,12,3
4,54,92
8,83,64
4,59,14
8,4,66
3,37,50
0,38,37
6,5,88
1,4,60
8,79,25
2,74,12
3,15,53
9,29,8
1,80,77
3,22,34
2,77,73
8,62,54
0,32,49
2,50,40
0,14,38
8,8,71
0,84,91
7,24,3
5,87,38
6,2,33
6,9,59
0,76,79
3,63,35
6,74,46
8,44,1
1,80,2
2,26,74
7,7,44
0,44,12
8,83,43
2,1,94
1,23,83
5,79,17
7,92,71
5,86,60
5,89,88
2,32,3
5,58,94
4,84,5
4,7,94
0,93,74
0,98,51
9,42,47
5,34,41
9,47,77
1,98,72
2,27,43
6,70,4
3,59,37
4,38,70
8,49,77
7,63,49
0,76,20
