label,1x1,1x2
4,14,48
1,32,43
9,34,75
9,71,26
1,32,31
0,6,64
4,10,53
8,97,68
5,61,29
7,87,58
8,84,99
3,94,17
2,20,56
6,43,10
7,71,87
3,49,78
8,68,47
5,2,94
0,46,46
7,4,9
1,14,94
1,99,7
8,87,43
9,61,31
5,31,14
6,70,38
8,31,11
3,89,85
8,52,70
4,44,42
8,57,88
0,34,15
5,51,73
1,35,61
5,3,76
3,29,85
2,0,46
2,50,68
5,26,36
8,23,95
3,15,1
3,79,34
3,16,53
3,2,87
1,13,57
8,6,64
7,23,46
9,13,87
7,36,14
3,65,94
3,25,84
4,71,89
5,91,70
7,13,86
3,88,86
6,71,42
3,82,35
9,74,59
1,77,74
4,75,41
7,70,0
2,13,95
0,18,11
9,46,4
8,21,17
9,0,72
8,93,53
2,5,17
8,68,56
6,88,58
