label,1x1,1x2
2,28,1
1,35,91
3,53,84
3,24,7
9,91,85
2,29,94
0,17,4
1,22,23
0,13,58
9,87,35
1,49,52
7,32,90
4,56,19
2,73,82
8,73,60
2,43,22
7,26,96
9,60,26
4,91,6
5,48,41
7,91,10
4,48,13
6,27,62
7,0,43
1,84,94
4,61,30
4,80,29
8,89,32
8,56,23
7,58,21
5,30,66
6,55,50
4,25,42
1,76,59
2,91,5
7,88,28
8,37,2
2,97,65
3,32,40
0,5,82
5,72,34
7,27,89
5,15,55
5,21,44
6,3,63
7,3,55
5,84,60
8,64,44
9,74,96
3,65,83
0,87,58
8,82,67
9,36,80
9,23,88
0,57,1
3,87,40
3,89,80
1,66,36
6,50,61
5,72,31
7,96,51
6,88,47
9,27,42
7,65,92
4,63,5
5,14,77
7,34,72
7,35,47
5,36,82
5,41,61
3,71,24
0,75,53
