label,1x1,1x2
1,52,93
8,98,17
2,38,76
3,39,49
9,27,31
9,86,28
0,91,50
6,36,78
3,28,97
3,20,55
8,11,84
7,74,85
9,68,79
1,38,90
5,47,20
6,58,58
4,36,31
0,29,29
7,94,16
7,0,95
6,83,83
2,16,62
7,39,57
5,19,82
3,87,89
9,77,50
2,7,42
8,59,35
5,85,42
0,50,97
6,88,32
8,83,31
8,52,70
5,26,79
1,95,70
3,75,1
3,53,23
7,24,61
9,16,82
1,31,97
6,65,11
5,1,0
8,55,28
2,8,72
1,53,53
2,39,59
8,46,67
4,73,56
3,89,75
6,65,74
1,18,42
0,60,23
9,45,18
5,48,10
4,33,48
5,6,76
7,15,15
8,99,17
0,36,95
7,9,26
7,61,86
2,98,66
4,76,2
8,43,18
0,80,18
4,12,74
7,90,79
7,94,27
7,63,58
6,6,74
9,84,8
8,2,79
7,93,15
2,88,68
4,23,24
7,40,37
1,81,57
8,45,57
4,5,29
9,88,13
1,45,16
7,92,44
