label,1x1,1x2
1,24,8
2,42,67
1,36,81
0,21,69
0,31,71
8,24,54
2,19,58
9,29,24
6,4,0
4,11,24
7,91,74
2,93,16
6,91,73
7,12,73
3,86,92
8,9,82
7,73,60
3,53,60
1,61,29
5,82,68
6,61,98
5,99,69
3,28,74
4,20,34
3,39,71
8,75,9
8,69,76
1,42,28
7,83,32
5,12,4
7,42,74
6,75,37
9,99,80
3,41,35
6,81,59
5,27,77
5,45,51
7,93,2
7,33,15
2,63,43
3,77,61
3,90,62
5,67,64
5,0,27
2,41,67
6,78,80
2,77,22
2,68,92
2,52,23
9,11,16
9,59,37
2,50,15
7,59,90
4,65,17
1,79,87
8,55,35
9,31,88
2,78,77
1,84,13
8,9,48
4,25,88
3,7,77
1,65,20
4,59,17
5,2,89
8,38,1
6,21,11
8,50,55
1,71,4
3,0,73
0,66,58
