label,1x1,1x2
9,35,41
5,67,7
5,75,73
6,96,63
4,75,5
7,55,77
5,36,17
4,62,52
1,62,73
9,78,50
4,57,58
1,88,28
6,54,81
6,8,1
5,84,64
7,94,8
8,43,10
9,9,15
5,38,18
3,20,66
9,52,33
6,60,58
5,89,12
5,63,51
5,57,73
8,81,58
1,95,43
7,55,36
8,82,5
4,31,3
1,12,71
2,85,25
1,63,50
2,74,39
4,53,60
8,25,84
3,83,23
6,12,66
9,57,3
8,13,99
5,67,19
5,60,28
5,23,70
5,25,89
1,92,38
2,27,32
6,32,30
9,38,25
6,33,79
6,59,66
7,9,42
4,80,38
0,28,24
0,21,74
4,88,98
8,97,10
9,51,5
7,44,35
9,93,35
3,36,5
1,47,17
7,64,75
0,42,75
8,88,69
2,75,69
2,13,89
7,33,57
8,62,84
5,22,47
0,44,76
6,0,75
9,0,97
4,48,78
0,73,53
1,50,60
8,56,63
8,69,12
1,45,8
2,42,71
1,64,39
