label,1x1,1x2
3,60,36
2,47,1
0,3,77
3,7,64
4,53,46
9,2,63
8,92,70
2,2,16
7,45,84
9,19,82
8,11,61
3,56,52
1,77,32
2,18,19
8,11,3
2,51,62
6,10,31
0,59,52
5,90,48
9,66,27
7,24,59
5,60,49
4,47,8
0,84,99
1,64,18
8,42,40
2,45,74
2,73,76
6,43,2
5,44,0
3,37,9
7,81,37
0,57,21
6,75,81
2,87,85
3,22,95
8,54,56
6,26,78
8,51,44
9,23,87
7,35,64
2,88,71
9,90,28
9,51,82
3,27,93
1,64,27
9,51,61
3,78,81
5,94,17
9,3,1
4,45,73
3,44,38
4,55,57
1,8,21
0,79,17
3,36,72
5,17,51
6,93,41
5,21,74
1,58,70
7,76,3
2,78,16
8,36,81
0,85,88
1,84,81
2,19,75
