1x0,1x1,1x2,1x3,1x4,1x5,1x6,1x7,1x8,1x9,1x10,1x11,1x12,1x13,1x14,1x15,1x16,1x17,1x18,1x19
1,83,51,71,50,26,41,5,56,19,42,37,70,57,65,6,74,83,50,25
72,47,21,57,75,91,99,91,15,61,10,70,34,60,38,98,4,58,62,59
10,42,83,27,44,10,58,56,35,52,41,9,91,62,24,44,56,50,7,29
15,36,82,4,99,49,75,45,12,5,58,74,79,31,39,90,3,84,49,84
25,35,51,10,89,73,82,1,21,4,84,49,28,40,51,21,80,19,24,90
20,10,83,65,86,88,16,46,28,1,57,87,65,71,0,22,98,11,90,28
75,99,95,73,51,95,40,58,7,89,50,22,59,88,60,92,80,72,65,61
3,38,63,95,45,43,69,26,26,85,17,79,6,49,4,10,31,79,30,44
58,37,27,68,50,27,58,24,76,98,51,54,10,9,63,47,19,13,42,86
26,16,37,17,59,42,32,19,17,33,47,50,80,41,41,96,95,1,34,59
13,30,0,82,15,2,45,99,84,84,89,87,39,22,60,74,94,49,9,91
63,83,54,95,79,84,68,74,65,73,52,35,6,12,45,34,55,66,67,94
99,99,8,1,78,40,20,31,7,69,57,28,85,73,67,32,19,60,83,79
90,23,4,88,3,24,7,34,81,1,44,24,98,51,20,82,97,48,26,97
3,20,41,92,26,55,99,71,7,72,55,76,96,63,48,23,65,32,42,6
81,68,82,48,25,76,83,42,65,77,29,88,9,5,24,54,22,22,37,65
30,14,94,30,20,69,72,84,87,68,55,74,57,68,40,52,3,38,2,73
3,90,26,11,51,23,55,65,72,6,16,72,47,10,20,2,42,69,57,59
70,20,78,3,68,21,33,37,12,58,53,1,28,13,72,44,46,84,54,54
90,68,86,32,88,53,80,51,52,98,85,2,37,67,93,8,68,63,72,49
69,6,70,68,5,46,50,13,59,44,52,23,10,80,27,7,7,91,42,29
86,68,12,18,9,30,38,27,38,86,71,8,66,11,90,58,77,28,15,37
58,72,34,60,21,95,46,13,45,51,14,34,58,48,76,72,39,78,12,59
19,74,56,61,34,34,4,25,77,98,66,78,4,97,26,40,55,57,15,62
41,12,41,33,26,38,57,41,78,98,13,10,29,14,35,60,39,72,66,95
76,38,9,48,76,41,99,79,62,40,98,24,38,87,0,34,48,54,3,83
5,89,3,53,42,33,5,67,78,68,12,24,12,42,63,55,6,48,41,94
57,38,8,66,80,85,0,86,89,59,87,68,58,58,55,58,46,64,8,34
