label,1x1,1x2
2,64,71
5,93,36
4,35,51
3,10,12
0,51,88
0,3,39
9,1,5
6,57,69
0,10,11
0,4,66
0,73,8
9,86,58
7,34,18
5,92,53
0,70,67
2,98,2
6,86,55
6,29,50
2,5,33
9,49,46
9,26,7
2,10,89
9,11,2
9,47,80
6,98,43
6,41,20
0,22,5
0,77,22
6,24,61
9,65,87
4,70,73
2,33,9
7,59,71
7,28,88
2,75,66
6,17,11
1,28,58
7,57,86
2,91,93
8,22,60
7,14,91
9,19,62
7,46,36
3,75,65
5,7,60
4,98,58
5,10,86
2,39,54
7,23,77
9,91,81
9,79,17
8,26,65
6,33,7
6,23,84
3,38,79
8,42,80
6,70,39
9,76,31
6,45,70
1,61,73
9,32,74
3,17,67
2,95,6
5,43,7
