Line 1 getShape : 45 20
Line 2 columns : 1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19Line 3 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
39 72 93 80 73 68 83 78 44 93 73 77 4 2 14 17 56 22 57 5
45 71 75 66 65 99 98 66 27 85 0 86 72 65 24 60 42 70 84 2
57 74 83 50 47 23 62 21 2 19 74 26 98 52 63 2 28 64 48 43
23 44 9 22 30 87 31 69 50 55 20 70 75 31 95 3 11 99 28 65
31 6 5 71 29 4 40 34 12 17 68 57 26 25 60 56 57 31 60 16
6 18 78 79 98 44 76 73 48 60 16 78 96 55 47 11 41 62 63 75
71 76 97 45 86 13 49 79 37 52 41 31 78 69 17 47 88 23 58 65
95 71 37 40 52 94 61 16 46 77 94 79 78 28 40 49 52 76 44 31
3 29 75 42 75 86 42 22 50 15 65 34 56 7 51 38 36 89 23 33
59 49 37 6 22 30 43 92 43 15 87 79 66 65 24 82 82 63 5 90
66 38 25 3 19 47 57 5 67 87 46 35 60 95 8 73 57 78 32 53
84 82 3 80 4 61 63 45 43 11 55 9 48 58 51 11 19 90 67 78
77 56 71 94 11 41 10 20 93 71 25 19 96 55 33 66 81 15 68 94
61 59 53 42 19 25 36 95 96 31 12 81 94 7 28 19 60 91 43 54
82 23 56 49 57 80 20 44 10 11 33 12 57 60 46 24 90 78 4 85
91 99 24 11 21 38 47 12 54 92 15 93 8 60 42 38 41 78 84 25
11 69 82 76 43 88 73 25 57 94 77 98 58 86 43 35 41 88 39 71
52 60 79 86 23 84 31 98 68 91 60 2 66 12 35 62 71 29 68 23
77 88 75 34 66 52 27 16 0 92 24 33 52 1 74 40 12 73 89 1
64 8 36 67 27 64 53 36 59 11 29 24 98 62 22 96 61 93 23 80
84 67 78 16 98 2 55 26 14 11 56 67 26 12 6 2 96 14 46 95
7 43 6 11 16 73 98 24 49 29 3 21 9 42 41 1 54 95 19 99
6 54 41 29 50 79 36 63 71 11 49 30 2 99 50 39 24 16 7 12
26 76 46 51 70 35 22 20 87 34 58 26 79 34 53 63 64 13 78 22
86 59 29 91 42 43 12 10 13 86 15 66 18 80 22 67 37 8 56 8
33 76 38 61 28 25 83 4 7 55 50 49 49 18 8 92 48 76 38 93
